property_id,type,city,district,address,area,rooms,price,build_year,status
380,apartment,Aktobe,North,25 Street,22.2,2,27558656,1987,available
381,apartment,Astana,Central,43 Lane,157.6,5,147056051,1982,available
382,apartment,Kostanay,East,118 Street,722.5,0,580458196,1965,sold
383,apartment,Kyzylorda,Auezov,35 Lane,24.3,5,9806584,2024,available
384,apartment,Shymkent,Almalinsky,45 Street,121.5,5,117752023,2014,sold
385,apartment,Kyzylorda,East,71 Lane,964.3,2,582240866,2002,available
386,office,Semey,West,180 Road,863.5,1,435791260,1987,available
387,office,Shymkent,Turksib,46 Road,551.6,2,572173393,2021,available
388,apartment,Kostanay,Turksib,192 Road,300.2,6,164387274,1963,available
389,apartment,Almaty,East,69 Street,983.9,5,517044277,1957,available
390,apartment,Semey,Central,92 Lane,120.4,6,112026105,1978,sold
391,apartment,Karagandy,Auezov,179 Boulevard,699.1,0,757012381,1990,reserved
392,apartment,Pavlodar,East,159 Lane,833.4,5,824508816,2019,sold
393,apartment,Karagandy,West,115 Street,983.8,0,400580710,2015,available
394,apartment,Pavlodar,Auezov,68 Street,177.7,6,87717472,1969,available
395,office,Kyzylorda,Central,199 Road,846.3,2,645770672,1995,available
396,house,Semey,East,48 Road,86.8,4,39153285,2001,available
397,apartment,Karagandy,Turksib,85 Boulevard,373.6,1,452032169,2010,reserved
398,office,Almaty,North,172 Boulevard,456.8,1,531261659,1991,available
399,house,Astana,Bostandyk,66 Road,729.5,0,922477016,1997,available
400,apartment,Aktobe,Central,76 Street,333.9,0,333880350,2018,available
401,house,Karagandy,Turksib,162 Street,867.7,3,805394665,2005,available
402,office,Shymkent,Central,118 Boulevard,57.1,0,22263002,2021,available
403,office,Pavlodar,Bostandyk,100 Lane,637.6,3,356365923,1965,available
404,house,Kyzylorda,North,194 Road,64.6,6,27641181,1963,available
405,house,Kyzylorda,North,73 Lane,393.8,6,348647707,2018,available
406,house,Semey,West,163 Street,312.1,6,357154934,1951,available
407,apartment,Astana,Central,2 Road,604.7,4,399835398,1976,sold
408,office,Taraz,East,106 Road,159.6,1,90251566,1974,available
409,house,Kyzylorda,Central,193 Road,472.0,4,184529895,1982,available
410,house,Aktobe,Medeu,92 Street,677.9,1,277048884,1974,available
411,apartment,Kyzylorda,Turksib,79 Road,169.3,4,98516303,2004,available
412,apartment,Karagandy,Turksib,112 Boulevard,843.3,1,716975163,2011,available
413,apartment,Pavlodar,Saryarka,142 Avenue,192.3,4,65569703,1967,sold
414,apartment,Astana,North,5 Road,639.0,6,506372413,1977,sold
415,apartment,Semey,Auezov,121 Street,378.5,1,432171425,1987,available
416,apartment,Astana,Bostandyk,94 Road,30.4,1,36283829,1971,sold
417,apartment,Shymkent,South,145 Road,666.2,1,636872396,1995,available
418,house,Karagandy,North,68 Boulevard,249.3,5,140947834,1996,available
419,office,Almaty,Central,167 Boulevard,121.2,2,127427866,1983,available
420,apartment,Kostanay,Turksib,97 Boulevard,595.9,6,198603443,1978,available
421,apartment,Taraz,Saryarka,124 Road,26.5,1,16449824,2015,available
422,apartment,Shymkent,South,93 Road,723.0,0,624983195,1992,sold
423,apartment,Aktobe,Saryarka,54 Road,178.0,6,107001581,1966,available
424,apartment,Semey,Central,147 Street,74.8,2,85101839,2001,available
425,apartment,Almaty,Turksib,73 Avenue,232.3,4,277249641,2011,available
426,office,Kyzylorda,South,150 Street,630.7,2,305527749,2008,available
427,apartment,Kostanay,Bostandyk,34 Avenue,36.2,4,38933271,2003,sold
428,house,Shymkent,Saryarka,158 Road,58.3,6,49954795,1961,available
429,apartment,Kyzylorda,Auezov,1 Lane,531.6,2,623728401,2004,available
430,office,Kostanay,Medeu,151 Road,115.8,1,67781099,1960,available
431,office,Kostanay,West,49 Avenue,715.0,0,496787296,1950,available
432,apartment,Taraz,Bostandyk,93 Avenue,171.7,5,128412385,2018,available
433,apartment,Pavlodar,Turksib,102 Street,425.0,6,296974926,2021,available
434,apartment,Pavlodar,Almalinsky,89 Lane,741.1,6,676832876,1979,available
435,house,Shymkent,North,55 Road,412.5,2,440271873,1956,available
436,land,Almaty,North,38 Lane,1881.4,0,1301627194,0,available
437,apartment,Astana,Almalinsky,10 Lane,932.1,3,801356665,1957,sold
438,office,Aktobe,Saryarka,3 Street,853.6,2,451772082,2015,available
439,apartment,Shymkent,Turksib,10 Boulevard,254.5,0,250272298,1985,sold
440,apartment,Kostanay,Bostandyk,151 Street,527.4,5,574729031,2020,available
441,office,Kyzylorda,Medeu,89 Boulevard,241.8,1,164915890,1950,available
442,apartment,Astana,Auezov,19 Road,308.4,0,373000295,2018,sold
443,apartment,Aktobe,Bostandyk,145 Lane,774.6,6,520892302,2008,sold
444,office,Aktobe,North,67 Avenue,395.0,1,320345130,1990,available
445,apartment,Semey,Central,180 Boulevard,263.3,0,190792936,1993,available
446,office,Aktobe,Medeu,91 Street,896.4,2,457381315,1974,available
447,apartment,Karagandy,West,53 Street,218.7,1,216967277,1963,available
448,apartment,Aktobe,Almalinsky,2 Road,958.8,6,737790730,2013,sold
449,office,Kyzylorda,West,126 Street,984.7,2,712868928,1966,available
450,house,Aktobe,Auezov,9 Road,360.3,6,287638254,1965,available
451,apartment,Almaty,Central,173 Street,391.8,0,232295312,1983,available
452,apartment,Pavlodar,Saryarka,157 Boulevard,378.6,3,249683578,1997,available
453,apartment,Aktobe,South,147 Street,979.7,5,416147279,1984,sold
454,apartment,Kostanay,East,38 Street,483.5,0,221864959,2016,available
455,apartment,Aktobe,West,65 Road,861.3,0,610451101,1957,available
456,apartment,Astana,Saryarka,191 Boulevard,274.6,2,259016632,1982,available
457,apartment,Taraz,Turksib,156 Street,585.3,5,450157991,1986,available
458,house,Aktobe,Saryarka,21 Lane,621.4,3,463039605,1971,available
459,office,Kostanay,Turksib,157 Road,416.7,0,145004183,1990,available
460,apartment,Pavlodar,Almalinsky,166 Lane,285.8,3,336926601,2016,reserved
461,apartment,Shymkent,Central,33 Street,668.8,5,517855825,1971,available
462,apartment,Aktobe,Auezov,14 Avenue,775.5,4,638790830,1983,available
463,apartment,Kostanay,West,59 Street,742.8,3,547017732,1971,available
464,house,Taraz,Saryarka,120 Road,936.2,4,778824751,2019,available
465,apartment,Kyzylorda,Bostandyk,135 Road,323.5,2,211383787,1961,available
466,apartment,Pavlodar,South,78 Avenue,20.1,6,16874661,1986,available
467,apartment,Aktobe,Saryarka,77 Avenue,770.6,6,387636680,1950,available
468,apartment,Semey,Bostandyk,102 Street,180.0,5,179492544,1978,available
469,apartment,Karagandy,Auezov,196 Road,811.4,5,468196587,2018,sold
470,apartment,Astana,South,35 Boulevard,128.1,3,99654007,2012,available
471,apartment,Almaty,Auezov,6 Street,972.9,2,527579950,2006,sold
472,apartment,Shymkent,Central,127 Street,355.1,2,357410464,1997,available
473,house,Taraz,North,193 Street,74.9,6,49768386,1973,available
474,office,Kostanay,Central,32 Street,397.1,3,248502473,1975,available
475,house,Semey,Turksib,54 Lane,401.3,2,395909076,1955,sold
476,apartment,Astana,West,124 Boulevard,214.7,0,205184952,1964,available
477,apartment,Almaty,South,71 Road,137.3,6,71228548,1955,available
478,house,Kyzylorda,South,96 Avenue,263.7,3,105586201,1957,available
479,house,Semey,North,33 Lane,248.0,4,276118542,2006,sold
480,apartment,Kostanay,Medeu,186 Street,265.7,0,190866291,1987,available
481,apartment,Kyzylorda,South,140 Boulevard,337.2,3,209197626,2020,available
482,apartment,Aktobe,West,68 Road,379.8,0,380067842,1973,sold
483,house,Taraz,Almalinsky,62 Boulevard,726.6,5,958980588,1974,available
484,apartment,Semey,South,157 Boulevard,336.1,5,166223948,1958,available
485,office,Shymkent,Central,52 Avenue,495.7,0,172141383,1999,available
486,apartment,Kyzylorda,West,13 Boulevard,236.3,5,100755617,1976,available
487,office,Astana,Saryarka,164 Avenue,373.7,3,434318234,1957,sold
488,apartment,Almaty,North,78 Avenue,945.7,4,366371107,1979,available
489,apartment,Semey,Turksib,64 Road,632.8,1,519684769,1963,sold
490,apartment,Aktobe,Turksib,110 Avenue,183.5,1,146150623,1970,available
491,apartment,Taraz,Medeu,141 Boulevard,848.0,3,814369029,1991,available
492,apartment,Karagandy,Bostandyk,197 Road,927.6,2,567809423,2000,available
493,apartment,Pavlodar,Almalinsky,5 Road,152.4,2,55654157,1977,sold
494,apartment,Pavlodar,Auezov,131 Road,579.3,4,207403774,1995,available
495,apartment,Kyzylorda,East,60 Boulevard,814.9,0,681183444,1977,sold
496,house,Aktobe,South,125 Road,823.1,0,632949819,2023,available
497,house,Taraz,Medeu,112 Lane,931.6,0,898475062,1951,available
498,house,Almaty,West,135 Avenue,332.9,4,144685669,2014,available
499,apartment,Kostanay,Saryarka,193 Road,583.7,0,267243547,2000,available
500,apartment,Aktobe,Almalinsky,191 Avenue,557.2,2,209978425,1966,sold
501,apartment,Karagandy,Saryarka,102 Road,212.2,4,256546473,1981,available
502,house,Taraz,Turksib,148 Avenue,130.3,3,83373013,1991,available
503,house,Pavlodar,South,90 Road,825.2,6,494379925,1955,sold
504,apartment,Taraz,South,194 Avenue,130.1,0,70755037,1968,sold
505,office,Almaty,Medeu,178 Avenue,319.0,3,102230983,1976,sold
506,apartment,Semey,Auezov,193 Boulevard,557.8,4,457200147,1952,available
507,office,Semey,Central,66 Street,78.9,1,83471476,1956,available
508,office,Astana,Bostandyk,170 Boulevard,669.7,2,582979673,1999,available
509,apartment,Astana,Medeu,125 Road,540.9,1,307459787,2021,sold
510,apartment,Karagandy,Auezov,79 Boulevard,500.1,5,207170437,1995,available
511,apartment,Semey,West,16 Boulevard,881.1,6,1236156835,1985,available
512,apartment,Kostanay,Turksib,36 Avenue,735.3,4,894805404,1979,available
513,apartment,Kostanay,West,155 Boulevard,460.2,1,191355317,2019,available
514,apartment,Shymkent,West,177 Road,911.4,3,1297606845,1968,available
515,apartment,Shymkent,Medeu,18 Road,542.3,5,204385487,1968,sold
516,house,Kostanay,Bostandyk,78 Lane,750.7,6,973030741,1985,available
517,apartment,Shymkent,South,7 Road,624.6,4,451659250,1979,available
518,apartment,Astana,Saryarka,35 Road,849.2,3,758662328,1999,available
519,apartment,Karagandy,East,9 Lane,769.2,0,1028344866,1978,sold
520,land,Karagandy,North,46 Lane,1787.4,0,1231610243,0,available
521,apartment,Kostanay,Central,156 Lane,725.8,3,677046438,2018,available
522,office,Almaty,Auezov,28 Lane,467.8,0,509902909,1981,available
523,apartment,Almaty,Auezov,100 Road,769.9,0,362519199,2006,available
524,apartment,Pavlodar,Saryarka,43 Lane,308.5,0,329991632,2009,sold
525,apartment,Semey,North,47 Road,939.1,5,711743816,1991,available
526,apartment,Kyzylorda,East,117 Avenue,265.1,5,254090583,1970,sold
527,apartment,Astana,Saryarka,163 Boulevard,103.6,5,74680353,2015,available
528,apartment,Semey,Bostandyk,12 Street,914.0,4,1134689885,1970,sold
529,apartment,Almaty,Bostandyk,79 Boulevard,735.6,3,411864267,1973,available
530,apartment,Karagandy,Central,160 Boulevard,32.0,3,34831557,1950,available
531,apartment,Karagandy,Almalinsky,169 Lane,464.7,3,179531349,1981,sold
532,apartment,Semey,East,13 Street,165.3,5,87113941,1954,available
533,office,Pavlodar,Medeu,23 Avenue,126.7,1,51542072,2023,sold
534,apartment,Aktobe,Almalinsky,93 Avenue,111.3,2,76178450,1958,sold
535,office,Astana,West,121 Street,139.6,2,80370181,1976,available
536,house,Astana,Almalinsky,187 Road,987.4,3,979058668,1986,available
537,office,Pavlodar,Auezov,148 Road,366.8,1,312378549,2013,available
538,apartment,Kyzylorda,East,182 Boulevard,979.7,0,392544648,1965,sold
539,apartment,Kyzylorda,Bostandyk,106 Avenue,347.1,4,314974918,1975,available
540,apartment,Astana,West,77 Road,559.0,6,183479797,1993,available
541,apartment,Almaty,South,50 Boulevard,837.1,5,612085382,2010,sold
542,house,Aktobe,South,161 Lane,894.2,4,974434296,2002,sold
543,apartment,Semey,West,145 Boulevard,564.1,0,295364274,1995,available
544,apartment,Almaty,Medeu,97 Road,845.6,4,714633624,1973,available
545,office,Pavlodar,Medeu,182 Avenue,286.1,0,191377974,2007,sold
546,apartment,Semey,West,45 Avenue,386.7,0,450642688,2006,available
547,house,Semey,South,49 Boulevard,925.2,5,928969031,1991,available
548,office,Semey,Turksib,34 Street,730.1,3,542836086,1964,available
549,office,Kyzylorda,North,86 Lane,891.4,0,728624101,1989,available
550,house,Karagandy,Medeu,52 Street,300.8,4,172479691,1965,available
551,apartment,Astana,Central,160 Road,523.8,1,421052096,1984,available
552,house,Pavlodar,Almalinsky,63 Street,89.8,4,100658770,1956,available
553,apartment,Almaty,North,99 Avenue,104.4,3,48137242,2007,available
554,apartment,Karagandy,Turksib,137 Avenue,974.2,6,988594188,1961,sold
555,office,Aktobe,North,117 Boulevard,690.8,3,589239452,1968,sold
556,house,Taraz,Bostandyk,47 Boulevard,793.0,2,455922712,2010,available
557,apartment,Shymkent,West,197 Boulevard,612.4,1,446188870,1963,available
558,house,Pavlodar,Auezov,119 Lane,598.7,1,524017299,2011,available
559,apartment,Kyzylorda,Bostandyk,112 Road,791.6,4,636286572,1959,sold
560,house,Aktobe,North,152 Road,473.7,4,179716342,1989,reserved
561,apartment,Astana,Turksib,153 Lane,340.9,5,254890452,1967,sold
562,office,Almaty,South,170 Street,463.9,2,301991660,2023,available
563,apartment,Taraz,West,146 Boulevard,920.1,3,1014957458,1961,available
564,house,Semey,Bostandyk,33 Boulevard,81.2,4,76107355,2021,sold
565,apartment,Pavlodar,Central,61 Lane,708.2,3,662713107,2001,available
566,apartment,Shymkent,Saryarka,36 Street,564.3,6,725674871,1969,available
567,office,Shymkent,South,3 Avenue,655.4,1,618799871,2005,reserved
568,apartment,Shymkent,Turksib,107 Lane,895.7,5,733492929,1973,available
569,apartment,Aktobe,Bostandyk,91 Street,202.1,4,61935747,1980,sold
570,apartment,Semey,Almalinsky,94 Avenue,978.7,4,681475183,2024,available
571,house,Shymkent,Auezov,193 Boulevard,475.6,0,382842695,1981,available
572,house,Astana,Turksib,163 Road,802.1,2,793464844,2018,sold
573,apartment,Semey,Saryarka,147 Boulevard,432.6,6,211970637,1988,sold
574,apartment,Almaty,Turksib,122 Road,185.7,0,165400742,1987,sold
575,house,Pavlodar,Saryarka,22 Street,515.5,6,466874274,1985,available
576,apartment,Astana,Almalinsky,45 Road,744.2,5,586748133,1983,sold
577,apartment,Shymkent,Auezov,9 Boulevard,984.4,1,928853047,2013,sold
578,apartment,Kostanay,East,170 Lane,731.5,1,391853131,1994,available
579,apartment,Astana,Central,43 Lane,410.8,2,352994367,2018,available
580,house,Kostanay,Saryarka,68 Street,539.8,3,196361953,2007,available
581,apartment,Semey,Turksib,11 Avenue,919.4,5,646892184,1984,available
582,apartment,Astana,West,168 Road,403.3,6,328289122,1974,available
583,house,Shymkent,Medeu,141 Avenue,679.3,6,236624316,2017,available
584,apartment,Karagandy,West,65 Street,53.4,4,24023690,1977,reserved
585,house,Astana,North,155 Street,388.4,6,442480659,1973,sold
586,house,Pavlodar,West,120 Avenue,646.0,2,690399092,1991,available
587,house,Pavlodar,Central,98 Lane,346.0,0,207264609,1972,available
588,apartment,Karagandy,Almalinsky,101 Street,652.6,0,310407677,1977,available
589,apartment,Aktobe,West,27 Avenue,91.5,4,97051489,1952,sold
590,apartment,Almaty,Central,171 Lane,281.1,5,167773911,2000,available
591,apartment,Aktobe,Saryarka,112 Lane,847.2,6,723296093,1978,available
592,land,Aktobe,North,146 Road,1896.1,0,1267243050,0,available
593,house,Astana,Medeu,137 Boulevard,98.8,3,89088082,1975,available
594,apartment,Kostanay,Turksib,49 Boulevard,702.0,0,574738523,1960,sold
595,apartment,Karagandy,South,10 Street,44.9,4,22079076,2019,available
596,apartment,Aktobe,Central,10 Boulevard,74.9,6,68387066,1977,sold
597,house,Aktobe,Turksib,138 Street,746.2,1,688422123,1968,available
598,apartment,Kyzylorda,Central,63 Street,34.1,5,10856678,1962,available
599,apartment,Kyzylorda,North,28 Avenue,507.2,6,357480956,1975,available
600,office,Kostanay,Medeu,31 Road,555.0,2,652798507,1955,available
601,apartment,Astana,West,37 Lane,184.7,2,143786359,2024,available
602,apartment,Kyzylorda,Bostandyk,200 Street,35.3,3,10561657,1961,sold
603,apartment,Pavlodar,Bostandyk,178 Lane,698.5,1,272061763,2007,available
604,office,Kyzylorda,Central,153 Street,722.9,0,695564686,1994,available
605,apartment,Karagandy,North,136 Avenue,626.5,6,626917533,1978,available
606,house,Karagandy,West,14 Street,130.4,1,141945572,2010,available
607,apartment,Almaty,Central,166 Boulevard,299.4,3,157557334,2008,available
608,house,Semey,South,41 Avenue,495.4,0,161132407,2006,available
609,apartment,Karagandy,Turksib,84 Street,783.4,2,354019526,2002,sold
610,apartment,Karagandy,North,121 Road,494.7,3,249388292,2008,available
611,apartment,Aktobe,East,162 Boulevard,976.0,1,477824244,2022,available
612,apartment,Aktobe,Saryarka,108 Street,765.1,1,874719996,1971,available
613,apartment,Karagandy,North,106 Road,499.4,1,471748082,1985,available
614,apartment,Karagandy,East,84 Lane,587.9,4,789093243,1950,available
615,apartment,Aktobe,Auezov,9 Lane,540.5,3,599775220,1962,available
616,apartment,Semey,Central,178 Lane,950.9,1,530207437,1961,available
617,house,Shymkent,Saryarka,147 Road,43.9,3,26940829,2001,available
618,office,Aktobe,Turksib,1 Avenue,397.2,2,283815711,1984,available
619,house,Kyzylorda,East,176 Avenue,628.0,2,496649622,1996,sold
620,apartment,Taraz,Saryarka,159 Avenue,378.3,1,361558671,2021,sold
621,apartment,Taraz,East,139 Avenue,656.1,5,775467743,1976,sold
622,house,Taraz,Medeu,69 Road,686.6,2,227441803,2007,available
623,apartment,Astana,Saryarka,182 Road,684.7,4,745086409,1997,sold
624,office,Astana,East,118 Avenue,98.6,1,65247070,1963,available
625,apartment,Shymkent,Saryarka,39 Street,530.3,5,164246568,2019,sold
626,apartment,Kostanay,Saryarka,189 Avenue,305.7,0,109583479,2016,available
627,apartment,Taraz,Turksib,166 Boulevard,496.4,5,523196118,2006,available
628,apartment,Pavlodar,South,67 Street,494.6,2,402115057,1995,available
629,land,Kyzylorda,South,183 Road,856.4,0,1143714969,0,available
630,house,Shymkent,South,61 Avenue,60.3,2,48104526,1997,available
631,apartment,Almaty,Turksib,82 Boulevard,165.0,3,129670189,1970,available
632,apartment,Almaty,Bostandyk,128 Street,948.8,2,417897006,2019,reserved
633,apartment,Pavlodar,Saryarka,75 Road,673.5,6,633310585,2006,available
634,apartment,Aktobe,Central,36 Road,134.5,0,101098061,2007,available
635,apartment,Kyzylorda,Turksib,50 Road,535.9,6,557682697,1952,available
636,office,Astana,Auezov,101 Street,500.7,0,528485129,1968,sold
637,apartment,Kostanay,Medeu,4 Boulevard,358.0,2,485593862,1961,available
638,office,Kostanay,Saryarka,74 Street,809.6,3,747213375,1961,available
639,apartment,Semey,Medeu,17 Road,761.0,0,245760724,1984,available
640,apartment,Kyzylorda,South,52 Street,835.6,2,545039357,1988,sold
641,apartment,Semey,Saryarka,58 Avenue,795.4,1,504487292,2010,available
642,house,Pavlodar,Bostandyk,46 Lane,908.7,5,400790402,1985,available
643,land,Kyzylorda,Medeu,149 Lane,1304.9,0,1483518622,0,available
644,house,Astana,Medeu,132 Road,37.2,2,13678493,1990,available
645,house,Taraz,South,14 Boulevard,373.9,5,394959404,1987,available
646,house,Astana,Auezov,50 Street,769.4,4,765133546,1990,sold
647,house,Pavlodar,West,176 Boulevard,113.9,4,60208901,1967,available
648,apartment,Aktobe,Bostandyk,88 Street,120.4,1,102691625,2021,available
649,office,Semey,Auezov,183 Road,708.2,0,558091222,1964,sold
650,office,Aktobe,Medeu,80 Boulevard,156.2,3,178653529,1993,available
651,apartment,Astana,East,33 Street,694.3,2,244219994,1960,available
652,house,Astana,North,5 Lane,762.2,0,295448413,2015,available
653,apartment,Pavlodar,Central,17 Boulevard,674.2,6,221568121,1976,available
654,apartment,Taraz,Central,24 Street,848.9,2,919935206,1970,sold
655,house,Kyzylorda,East,130 Road,87.0,6,57493505,1977,sold
656,land,Shymkent,Auezov,2 Avenue,1878.8,0,2418006070,0,available
657,house,Shymkent,Saryarka,173 Avenue,197.2,2,226236927,2015,available
658,apartment,Taraz,North,120 Avenue,529.3,3,564655110,2021,sold
659,apartment,Aktobe,North,99 Boulevard,467.8,5,323452507,2006,available
660,apartment,Kostanay,East,18 Lane,940.3,2,520367153,2012,available
661,apartment,Semey,Turksib,174 Avenue,136.8,3,93638139,1963,sold
662,office,Shymkent,North,94 Street,351.9,3,163985952,2013,available
663,house,Kyzylorda,Almalinsky,70 Lane,369.0,5,299123594,2012,available
664,apartment,Aktobe,North,32 Boulevard,499.6,1,369219582,1962,sold
665,office,Aktobe,Turksib,7 Street,395.0,2,181228118,1962,sold
666,house,Semey,Saryarka,120 Street,307.7,3,206331752,1993,sold
667,apartment,Almaty,Central,111 Avenue,396.0,2,422764396,2006,available
668,apartment,Semey,Turksib,200 Boulevard,887.0,1,562179952,1999,available
669,apartment,Aktobe,Turksib,142 Road,580.8,3,403784017,1957,available
670,apartment,Kostanay,Almalinsky,174 Boulevard,771.1,2,368102063,1955,available
671,apartment,Kyzylorda,Central,196 Boulevard,393.0,3,226285539,1994,available
672,apartment,Karagandy,Turksib,80 Road,103.2,5,34152959,1993,available
673,apartment,Almaty,Saryarka,169 Lane,576.7,3,311393200,2010,available
674,land,Kostanay,Almalinsky,100 Boulevard,1316.1,0,1135949839,0,available
675,apartment,Semey,Turksib,87 Street,622.5,2,642800699,1959,sold
676,apartment,Pavlodar,West,13 Boulevard,996.3,3,1071196492,1961,sold
677,apartment,Kyzylorda,Medeu,70 Avenue,575.1,4,369931684,1959,available
678,apartment,Pavlodar,Bostandyk,170 Road,327.1,3,227388418,2008,available
679,apartment,Almaty,Turksib,181 Road,865.5,4,648504668,2009,available
680,house,Kyzylorda,Bostandyk,145 Avenue,531.8,2,341339232,1988,sold
681,apartment,Astana,Turksib,53 Lane,281.6,2,224031800,1980,available
682,apartment,Karagandy,Central,63 Boulevard,474.9,4,548498770,1954,available
683,apartment,Almaty,West,72 Road,192.5,6,65066758,2012,sold
684,apartment,Astana,Medeu,155 Boulevard,869.8,3,1029076819,1961,available
685,office,Shymkent,East,29 Road,739.8,0,644407809,2017,available
686,office,Karagandy,Almalinsky,32 Boulevard,342.7,3,385642280,2004,available
687,apartment,Karagandy,West,113 Lane,269.2,4,95572222,1964,available
688,apartment,Karagandy,West,38 Boulevard,485.7,2,408057666,1954,sold
689,house,Almaty,Turksib,62 Boulevard,561.7,2,491517917,1996,sold
690,house,Semey,East,114 Lane,27.7,3,36687395,1988,available
691,office,Karagandy,West,54 Street,917.6,2,1108444090,2002,sold
692,apartment,Astana,Saryarka,121 Lane,928.0,2,1009813156,1962,sold
693,house,Semey,North,91 Lane,610.1,6,450259289,1953,sold
694,house,Shymkent,Turksib,114 Street,23.0,1,18422531,1960,available
695,apartment,Shymkent,Almalinsky,176 Lane,796.8,2,646897930,1967,available
696,house,Taraz,West,51 Avenue,426.2,1,265115399,2023,available
697,office,Semey,Turksib,157 Street,908.7,3,469758011,1971,available
698,house,Kyzylorda,West,39 Avenue,958.9,1,935996495,2017,available
699,office,Aktobe,Turksib,127 Avenue,240.0,1,129539887,1984,available
700,apartment,Shymkent,Bostandyk,53 Road,231.3,6,137388279,2003,available
701,house,Almaty,West,68 Street,625.3,1,395611030,2008,available
702,apartment,Taraz,Bostandyk,176 Street,719.1,5,508717621,1959,available
703,apartment,Taraz,East,121 Boulevard,996.8,5,1212587937,1955,available
704,apartment,Kostanay,West,102 Boulevard,149.6,4,43951023,1971,available
705,office,Aktobe,South,23 Boulevard,716.1,3,259284305,1955,reserved
706,apartment,Pavlodar,Medeu,111 Boulevard,904.7,2,851088894,1983,available
707,apartment,Shymkent,Medeu,189 Lane,768.4,1,718790769,2006,available
708,apartment,Karagandy,South,10 Lane,275.0,5,167686761,2013,available
709,apartment,Semey,Saryarka,118 Lane,130.2,5,119469071,1961,available
710,apartment,Shymkent,Auezov,70 Road,893.1,4,526032165,1950,available
711,apartment,Kostanay,North,64 Lane,683.4,2,237015453,1965,available
712,apartment,Astana,Medeu,40 Avenue,99.4,6,92380987,1984,available
713,apartment,Almaty,Turksib,160 Lane,338.4,5,406025517,2022,available
714,office,Pavlodar,Medeu,15 Avenue,556.2,3,192310621,1980,reserved
715,office,Astana,Central,54 Street,400.7,3,245491262,1969,available
716,apartment,Kostanay,West,176 Road,148.7,5,54425561,1975,available
717,office,Aktobe,West,145 Road,434.6,3,467978872,2005,available
718,apartment,Semey,Medeu,119 Street,654.7,5,287243251,2017,available
719,apartment,Astana,Saryarka,77 Street,984.5,5,1245011615,2016,available
720,apartment,Semey,North,12 Road,125.5,3,83108750,2022,sold
721,apartment,Kyzylorda,North,197 Road,35.9,5,28025201,1973,sold
722,apartment,Kostanay,West,81 Road,729.6,6,691635830,1983,available
723,office,Shymkent,East,48 Avenue,752.1,2,687184492,2018,available
724,apartment,Almaty,South,168 Lane,471.0,3,509576062,2012,available
725,office,Kyzylorda,Medeu,177 Lane,808.5,0,268708537,1964,sold
726,house,Karagandy,Central,54 Lane,655.7,5,385832731,2018,available
727,apartment,Aktobe,South,122 Lane,41.4,1,50441771,2006,reserved
728,apartment,Aktobe,Almalinsky,63 Street,308.9,6,266197763,1951,available
729,office,Kostanay,Bostandyk,127 Road,603.9,2,193211922,2015,available
730,house,Aktobe,East,183 Avenue,537.7,3,449627176,1984,sold
731,apartment,Aktobe,North,127 Road,940.2,2,644552379,1970,available
732,apartment,Taraz,Saryarka,60 Road,235.3,5,148228561,2009,available
733,apartment,Kostanay,Bostandyk,173 Boulevard,800.1,6,812225827,1976,available
734,house,Aktobe,South,45 Street,173.2,3,65414103,2013,available
735,apartment,Almaty,Central,92 Boulevard,369.9,1,169134302,2014,available
736,apartment,Kostanay,North,159 Street,138.3,1,122174838,1995,sold
737,house,Semey,West,39 Road,612.2,0,670637723,2006,sold
738,land,Astana,North,157 Road,1651.5,0,2150002381,0,available
739,apartment,Astana,East,93 Street,733.8,5,512934241,1962,available
740,apartment,Shymkent,North,52 Lane,970.2,6,864504504,2010,available
741,apartment,Astana,West,96 Lane,373.4,5,214206447,2017,available
742,apartment,Kostanay,Bostandyk,105 Lane,952.8,4,913753207,1953,available
743,house,Semey,North,22 Boulevard,328.5,6,121323671,1954,available
744,house,Kyzylorda,Central,162 Road,973.2,3,690663301,2020,sold
745,house,Taraz,Medeu,3 Boulevard,902.2,4,1099611424,2007,available
746,office,Kyzylorda,Almalinsky,167 Lane,703.5,3,808971608,1960,available
747,apartment,Shymkent,Auezov,139 Boulevard,229.5,4,184381628,1970,available
748,office,Semey,Almalinsky,67 Street,835.6,2,952293745,1964,sold
749,office,Pavlodar,Turksib,130 Boulevard,141.3,0,102337515,1950,available
750,land,Kyzylorda,Almalinsky,183 Road,1751.2,0,822109180,0,available
751,office,Kyzylorda,Turksib,36 Lane,529.3,1,210291774,1974,sold
752,apartment,Astana,South,183 Lane,831.9,0,309063897,1966,available
753,apartment,Taraz,Turksib,135 Lane,596.5,4,685908416,2024,available
754,apartment,Aktobe,Saryarka,188 Lane,827.3,1,620975423,2008,available
755,house,Semey,North,178 Street,466.3,0,533668079,1997,sold
756,apartment,Kostanay,North,31 Boulevard,580.3,0,378754810,1989,reserved
757,apartment,Aktobe,Central,37 Street,788.1,3,313664893,1986,available
758,office,Aktobe,Central,32 Road,361.7,0,251586760,2022,available
759,apartment,Kostanay,Saryarka,185 Road,150.2,1,111523699,2007,available
760,apartment,Taraz,North,160 Road,421.4,1,437716974,1955,reserved
761,office,Pavlodar,Turksib,23 Street,713.1,2,487622514,2021,available
762,land,Semey,Almalinsky,194 Avenue,1931.7,0,1635586226,0,available
